Date,Segment,Country,Product,Discount_Band,Units_Sold,Manufacturing_Price,Sale_Price,Gross_Sales,Discounts,Sales
01-12-2014,Small Business,United States of America,Amarilla,Medium,1372,260,300,411600,28812,382788
01-02-2014,Government,Canada,Montana,Medium,488,5,7,3416,273,3143
01-06-2014,Government,United States of America,Montana,Medium,1282,5,20,25640,2051,23589
01-05-2014,Government,Canada,Paseo,Medium,257,10,7,1799,144,1655
01-06-2014,Government,United States of America,Amarilla,Medium,1282,260,20,25640,2051,23589
01-08-2014,Enterprise,Mexico,Carretera,Medium,1540,3,125,192500,15400,177100
01-11-2014,Midmarket,France,Carretera,Medium,490,3,15,7350,588,6762
01-12-2014,Government,Mexico,Carretera,Medium,1362,3,350,476700,38136,438564
01-03-2014,Midmarket,France,Montana,Medium,2501,5,15,37515,3001,34514
01-06-2014,Government,Canada,Montana,Medium,708,5,20,14160,1133,13027
01-07-2014,Government,Germany,Montana,Medium,645,5,20,12900,1032,11868
01-08-2014,Small Business,France,Montana,Medium,1562,5,300,468600,37488,431112
01-09-2013,Small Business,Canada,Montana,Medium,1283,5,300,384900,30792,354108
01-12-2014,Midmarket,Germany,Montana,Medium,711,5,15,10665,853,9812
01-03-2014,Enterprise,Mexico,Paseo,Medium,1114,10,125,139250,11140,128110
01-04-2014,Government,Germany,Paseo,Medium,1259,10,7,8813,705,8108
01-05-2014,Government,Germany,Paseo,Medium,1095,10,7,7665,613,7052
01-06-2014,Government,Germany,Paseo,Medium,1366,10,20,27320,2186,25134
01-06-2014,Small Business,Mexico,Paseo,Medium,2460,10,300,738000,59040,678960
01-08-2014,Government,United States of America,Paseo,Medium,678,10,7,4746,380,4366
01-08-2014,Government,Germany,Paseo,Medium,1598,10,7,11186,895,10291
01-09-2013,Government,Germany,Paseo,Medium,2409,10,7,16863,1349,15514
01-09-2014,Government,Germany,Paseo,Medium,1934,10,20,38680,3094,35586
01-09-2014,Government,Mexico,Paseo,Medium,2993,10,20,59860,4789,55071
01-11-2013,Government,Germany,Paseo,Medium,2146,10,350,751100,60088,691012
01-12-2013,Government,Mexico,Paseo,Medium,1946,10,7,13622,1090,12532
01-12-2014,Government,Mexico,Paseo,Medium,1362,10,350,476700,38136,438564
01-03-2014,Channel Partners,Canada,Velo,Medium,598,120,12,7176,574,6602
01-06-2014,Government,United States of America,Velo,Medium,2907,120,7,20349,1628,18721
01-06-2014,Government,Germany,Velo,Medium,2338,120,7,16366,1309,15057
01-11-2013,Small Business,France,Velo,Medium,386,120,300,115800,9264,106536
01-12-2014,Small Business,Mexico,Velo,Medium,635,120,300,190500,15240,175260
01-04-2014,Government,France,VTT,Medium,575,250,350,201075,16086,184989
01-06-2014,Government,Germany,VTT,Medium,2338,250,7,16366,1309,15057
01-08-2014,Government,France,VTT,Medium,381,250,350,133350,10668,122682
01-08-2014,Government,Germany,VTT,Medium,422,250,350,147700,11816,135884
01-09-2014,Small Business,Canada,VTT,Medium,2134,250,300,640200,51216,588984
01-12-2013,Small Business,United States of America,VTT,Medium,808,250,300,242400,19392,223008
01-06-2014,Government,Canada,Amarilla,Medium,708,260,20,14160,1133,13027
01-06-2014,Government,United States of America,Amarilla,Medium,2907,260,7,20349,1628,18721
01-06-2014,Government,Germany,Amarilla,Medium,1366,260,20,27320,2186,25134
01-06-2014,Small Business,Mexico,Amarilla,Medium,2460,260,300,738000,59040,678960
01-11-2014,Government,Germany,Amarilla,Medium,1520,260,20,30400,2432,27968
01-12-2014,Midmarket,Germany,Amarilla,Medium,711,260,15,10665,853,9812
01-12-2013,Channel Partners,Mexico,Amarilla,Medium,1375,260,12,16500,1320,15180
01-12-2014,Small Business,Mexico,Amarilla,Medium,635,260,300,190500,15240,175260
01-07-2014,Government,United States of America,VTT,Medium,437,250,20,8730,698,8032
01-06-2014,Small Business,Canada,Carretera,Medium,1094,3,300,328200,29538,298662
01-10-2013,Channel Partners,Mexico,Carretera,Medium,367,3,12,4404,396,4008
01-04-2014,Small Business,Canada,Montana,Medium,3803,5,300,1140750,102668,1038083
01-05-2014,Government,France,Montana,Medium,1666,5,350,583100,52479,530621
01-09-2013,Small Business,France,Montana,Medium,322,5,300,96600,8694,87906
01-11-2014,Channel Partners,Canada,Montana,Medium,2321,5,12,27852,2507,25345
01-11-2013,Enterprise,France,Montana,Medium,1857,5,125,232125,20891,211234
01-12-2013,Government,Canada,Montana,Medium,1611,5,7,11277,1015,10262
01-12-2014,Enterprise,United States of America,Montana,Medium,2797,5,125,349625,31466,318159
01-12-2013,Small Business,Germany,Montana,Medium,334,5,300,100200,9018,91182
01-01-2014,Small Business,Mexico,Paseo,Medium,2565,10,300,769500,69255,700245
01-01-2014,Government,Mexico,Paseo,Medium,2417,10,350,845950,76136,769815
01-04-2014,Midmarket,United States of America,Paseo,Medium,3675,10,15,55125,4961,50164
01-06-2014,Small Business,Canada,Paseo,Medium,1094,10,300,328200,29538,298662
01-10-2014,Midmarket,France,Paseo,Medium,1227,10,15,18405,1656,16749
01-10-2013,Channel Partners,Mexico,Paseo,Medium,367,10,12,4404,396,4008
01-11-2014,Small Business,France,Paseo,Medium,1324,10,300,397200,35748,361452
01-11-2013,Channel Partners,Germany,Paseo,Medium,1775,10,12,21300,1917,19383
01-12-2014,Enterprise,United States of America,Paseo,Medium,2797,10,125,349625,31466,318159
01-05-2014,Midmarket,Mexico,Velo,Medium,245,120,15,3675,331,3344
01-07-2014,Small Business,Canada,Velo,Medium,3794,120,300,1138050,102425,1035626
01-07-2014,Government,Germany,Velo,Medium,1307,120,350,457450,41171,416280
01-09-2014,Enterprise,Canada,Velo,Medium,567,120,125,70875,6379,64496
01-09-2014,Enterprise,Mexico,Velo,Medium,2110,120,125,263750,23738,240013
01-10-2014,Government,Canada,Velo,Medium,1269,120,350,444150,39974,404177
01-01-2014,Channel Partners,United States of America,VTT,Medium,1956,250,12,23472,2112,21360
01-02-2014,Small Business,Germany,VTT,Medium,2659,250,300,797700,71793,725907
01-04-2014,Government,United States of America,VTT,Medium,1352,250,350,473025,42572,430453
01-05-2014,Channel Partners,Germany,VTT,Medium,880,250,12,10560,950,9610
01-09-2014,Small Business,United States of America,VTT,Medium,1867,250,300,560100,50409,509691
01-09-2013,Channel Partners,France,VTT,Medium,2234,250,12,26808,2413,24395
01-10-2014,Midmarket,France,VTT,Medium,1227,250,15,18405,1656,16749
01-11-2014,Enterprise,Mexico,VTT,Medium,877,250,125,109625,9866,99759
01-09-2014,Government,United States of America,Amarilla,Medium,2071,260,350,724850,65237,659614
01-10-2014,Government,Canada,Amarilla,Medium,1269,260,350,444150,39974,404177
01-11-2013,Midmarket,Germany,Amarilla,Medium,970,260,15,14550,1310,13241
01-11-2014,Government,Mexico,Amarilla,Medium,1694,260,20,33880,3049,30831
01-05-2014,Government,Germany,Carretera,Medium,663,3,20,13260,1193,12067
01-07-2014,Government,Canada,Carretera,Medium,819,3,7,5733,516,5217
01-09-2014,Channel Partners,Germany,Carretera,Medium,1580,3,12,18960,1706,17254
01-12-2014,Government,Mexico,Carretera,Medium,521,3,7,3647,328,3319
01-03-2014,Government,United States of America,Paseo,Medium,973,10,20,19460,1751,17709
01-06-2014,Government,Mexico,Paseo,Medium,1038,10,20,20760,1868,18892
01-10-2014,Government,Germany,Paseo,Medium,360,10,7,2520,227,2293
01-03-2014,Channel Partners,France,Velo,Medium,1967,120,12,23604,2124,21480
01-04-2014,Midmarket,Mexico,Velo,Medium,2628,120,15,39420,3548,35872
01-10-2014,Government,Germany,VTT,Medium,360,250,7,2520,227,2293
01-11-2013,Government,France,VTT,Medium,2682,250,20,53640,4828,48812
01-12-2014,Government,Mexico,VTT,Medium,521,250,7,3647,328,3319
01-06-2014,Government,Mexico,Amarilla,Medium,1038,260,20,20760,1868,18892
01-07-2014,Midmarket,Canada,Amarilla,Medium,1631,260,15,24458,2201,22256
01-12-2013,Channel Partners,France,Amarilla,Medium,306,260,12,3672,330,3342
01-10-2013,Channel Partners,United States of America,Carretera,High,386,3,12,4632,463,4169
01-09-2014,Government,United States of America,Montana,High,2328,5,7,16296,1630,14666
01-10-2013,Channel Partners,United States of America,Paseo,High,386,10,12,4632,463,4169
01-04-2014,Enterprise,United States of America,Carretera,High,3446,3,125,430688,43069,387619
01-12-2013,Enterprise,France,Carretera,High,1482,3,125,185250,18525,166725
01-05-2014,Government,United States of America,Montana,High,2313,5,350,809550,80955,728595
01-11-2013,Enterprise,United States of America,Montana,High,1804,5,125,225500,22550,202950
01-12-2014,Midmarket,France,Montana,High,2072,5,15,31080,3108,27972
01-03-2014,Government,France,Paseo,High,1954,10,20,39080,3908,35172
01-05-2014,Small Business,Mexico,Paseo,High,591,10,300,177300,17730,159570
01-10-2013,Midmarket,France,Paseo,High,2167,10,15,32505,3251,29255
01-10-2014,Government,Germany,Paseo,High,241,10,20,4820,482,4338
01-01-2014,Midmarket,Germany,Velo,High,681,120,15,10215,1022,9194
01-04-2014,Midmarket,Germany,Velo,High,510,120,15,7650,765,6885
01-05-2014,Midmarket,United States of America,Velo,High,790,120,15,11850,1185,10665
01-07-2014,Government,France,Velo,High,639,120,350,223650,22365,201285
01-09-2014,Enterprise,United States of America,Velo,High,1596,120,125,199500,19950,179550
01-10-2013,Small Business,United States of America,Velo,High,2294,120,300,688200,68820,619380
01-10-2014,Government,Germany,Velo,High,241,120,20,4820,482,4338
01-11-2014,Government,Germany,Velo,High,2665,120,7,18655,1866,16790
01-12-2013,Enterprise,Canada,Velo,High,1916,120,125,239500,23950,215550
01-12-2014,Small Business,France,Velo,High,853,120,300,255900,25590,230310
01-05-2014,Enterprise,Mexico,VTT,High,341,250,125,42625,4263,38363
01-07-2014,Midmarket,Mexico,VTT,High,641,250,15,9615,962,8654
01-08-2014,Government,United States of America,VTT,High,2807,250,350,982450,98245,884205
01-09-2014,Small Business,Mexico,VTT,High,432,250,300,129600,12960,116640
01-10-2013,Small Business,United States of America,VTT,High,2294,250,300,688200,68820,619380
01-10-2013,Midmarket,France,VTT,High,2167,250,15,32505,3251,29255
01-11-2014,Enterprise,Canada,VTT,High,2529,250,125,316125,31613,284513
01-12-2013,Government,Germany,VTT,High,1870,250,350,654500,65450,589050
01-01-2014,Enterprise,United States of America,Amarilla,High,579,260,125,72375,7238,65138
01-02-2014,Government,Canada,Amarilla,High,2240,260,350,784000,78400,705600
01-03-2014,Small Business,United States of America,Amarilla,High,2993,260,300,897900,89790,808110
01-04-2014,Channel Partners,Canada,Amarilla,High,3521,260,12,42246,4225,38021
01-05-2014,Government,Mexico,Amarilla,High,2039,260,20,40780,4078,36702
01-08-2014,Channel Partners,Germany,Amarilla,High,2574,260,12,30888,3089,27799
01-09-2014,Government,Canada,Amarilla,High,707,260,350,247450,24745,222705
01-12-2014,Midmarket,France,Amarilla,High,2072,260,15,31080,3108,27972
01-12-2014,Small Business,France,Amarilla,High,853,260,300,255900,25590,230310
01-10-2013,Channel Partners,France,Carretera,High,1198,3,12,14376,1581,12795
01-04-2014,Government,France,Paseo,High,2532,10,7,17724,1950,15774
01-10-2013,Channel Partners,France,Paseo,High,1198,10,12,14376,1581,12795
01-01-2014,Midmarket,Canada,Velo,High,384,120,15,5760,634,5126
01-10-2014,Channel Partners,Germany,Velo,High,472,120,12,5664,623,5041
01-03-2014,Government,United States of America,VTT,High,1579,250,7,11053,1216,9837
01-09-2013,Channel Partners,Mexico,VTT,High,1005,250,12,12060,1327,10733
01-07-2014,Midmarket,United States of America,Amarilla,High,3200,260,15,47993,5279,42713
01-10-2014,Channel Partners,Germany,Amarilla,High,472,260,12,5664,623,5041
01-02-2014,Channel Partners,Canada,Carretera,High,1937,3,12,23244,2557,20687
01-03-2014,Government,Germany,Carretera,High,792,3,350,277200,30492,246708
01-07-2014,Small Business,Germany,Carretera,High,2811,3,300,843300,92763,750537
01-10-2014,Enterprise,France,Carretera,High,2441,3,125,305125,33564,271561
01-11-2013,Midmarket,Canada,Carretera,High,1560,3,15,23400,2574,20826
01-11-2013,Government,Mexico,Carretera,High,2706,3,7,18942,2084,16858
01-01-2014,Government,Germany,Montana,High,766,5,350,268100,29491,238609
01-10-2013,Government,Germany,Montana,High,2992,5,20,59840,6582,53258
01-12-2014,Midmarket,Mexico,Montana,High,2157,5,15,32355,3559,28796
01-01-2014,Small Business,Canada,Paseo,High,873,10,300,261900,28809,233091
01-03-2014,Government,Mexico,Paseo,High,1122,10,20,22440,2468,19972
01-07-2014,Government,Canada,Paseo,High,2105,10,350,736575,81023,655552
01-07-2014,Channel Partners,Canada,Paseo,High,4026,10,12,48312,5314,42998
01-07-2014,Channel Partners,France,Paseo,High,2426,10,12,29106,3202,25904
01-08-2014,Government,Canada,Paseo,High,2394,10,20,47880,5267,42613
01-08-2014,Midmarket,Mexico,Paseo,High,1984,10,15,29760,3274,26486
01-10-2014,Enterprise,France,Paseo,High,2441,10,125,305125,33564,271561
01-10-2013,Government,Germany,Paseo,High,2992,10,20,59840,6582,53258
01-11-2014,Small Business,Canada,Paseo,High,1366,10,300,409800,45078,364722
01-09-2013,Government,France,Velo,High,2805,120,20,56100,6171,49929
01-09-2013,Midmarket,Mexico,Velo,High,655,120,15,9825,1081,8744
01-10-2013,Government,Mexico,Velo,High,344,120,350,120400,13244,107156
01-11-2014,Government,Canada,Velo,High,1808,120,7,12656,1392,11264
01-01-2014,Channel Partners,France,VTT,High,1734,250,12,20808,2289,18519
01-01-2014,Enterprise,Mexico,VTT,High,554,250,125,69250,7618,61633
01-11-2013,Government,Canada,VTT,High,2935,250,20,58700,6457,52243
01-01-2014,Enterprise,Germany,Amarilla,High,3165,260,125,395625,43519,352106
01-01-2014,Government,Mexico,Amarilla,High,2629,260,20,52580,5784,46796
01-05-2014,Enterprise,France,Amarilla,High,1433,260,125,179125,19704,159421
01-09-2013,Enterprise,Mexico,Amarilla,High,947,260,125,118375,13021,105354
01-10-2013,Government,Mexico,Amarilla,High,344,260,350,120400,13244,107156
01-12-2014,Midmarket,Mexico,Amarilla,High,2157,260,15,32355,3559,28796
01-09-2013,Government,United States of America,Paseo,High,380,10,7,2660,293,2367
01-06-2014,Government,Mexico,Carretera,High,886,3,350,310100,37212,272888
01-09-2013,Enterprise,Canada,Carretera,High,2416,3,125,302000,36240,265760
01-10-2014,Enterprise,Mexico,Carretera,High,2156,3,125,269500,32340,237160
01-11-2014,Midmarket,Canada,Carretera,High,2689,3,15,40335,4840,35495
01-03-2014,Midmarket,United States of America,Montana,High,677,5,15,10155,1219,8936
01-04-2014,Small Business,France,Montana,High,1773,5,300,531900,63828,468072
01-09-2014,Government,Mexico,Montana,High,2420,5,7,16940,2033,14907
01-10-2014,Government,Canada,Montana,High,2734,5,7,19138,2297,16841
01-10-2013,Government,Mexico,Montana,High,1715,5,20,34300,4116,30184
01-12-2013,Small Business,France,Montana,High,1186,5,300,355800,42696,313104
01-01-2014,Small Business,United States of America,Paseo,High,3495,10,300,1048500,125820,922680
01-06-2014,Government,Mexico,Paseo,High,886,10,350,310100,37212,272888
01-10-2014,Enterprise,Mexico,Paseo,High,2156,10,125,269500,32340,237160
01-10-2014,Government,Mexico,Paseo,High,905,10,20,18100,2172,15928
01-10-2013,Government,Mexico,Paseo,High,1715,10,20,34300,4116,30184
01-11-2014,Government,France,Paseo,High,1594,10,350,557900,66948,490952
01-11-2014,Small Business,Germany,Paseo,High,1359,10,300,407700,48924,358776
01-11-2014,Small Business,Mexico,Paseo,High,2150,10,300,645000,77400,567600
01-11-2014,Government,Mexico,Paseo,High,1197,10,350,418950,50274,368676
01-12-2013,Midmarket,Mexico,Paseo,High,380,10,15,5700,684,5016
01-12-2014,Government,Mexico,Paseo,High,1233,10,20,24660,2959,21701
01-07-2014,Government,Mexico,Velo,High,1395,120,350,488250,58590,429660
01-10-2014,Government,United States of America,Velo,High,986,120,350,345100,41412,303688
01-10-2014,Government,Mexico,Velo,High,905,120,20,18100,2172,15928
01-05-2014,Channel Partners,Canada,VTT,High,2109,250,12,25308,3037,22271
01-07-2014,Midmarket,France,VTT,High,3875,250,15,58118,6974,51143
01-09-2013,Government,Canada,VTT,High,623,250,350,218050,26166,191884
01-10-2014,Government,United States of America,VTT,High,986,250,350,345100,41412,303688
01-11-2014,Enterprise,United States of America,VTT,High,2387,250,125,298375,35805,262570
01-12-2014,Government,Mexico,VTT,High,1233,250,20,24660,2959,21701
01-02-2014,Government,United States of America,Amarilla,High,270,260,350,94500,11340,83160
01-07-2014,Government,France,Amarilla,High,3422,260,7,23951,2874,21076
01-10-2014,Government,Canada,Amarilla,High,2734,260,7,19138,2297,16841
01-11-2013,Midmarket,United States of America,Amarilla,High,2548,260,15,38220,4586,33634
01-01-2014,Government,France,Carretera,High,2522,3,20,50430,6052,44378
01-05-2014,Channel Partners,Mexico,Montana,High,2661,5,12,31932,3832,28100
01-12-2014,Government,Germany,Paseo,High,1531,10,20,30620,3674,26946
01-03-2014,Government,France,VTT,High,1491,250,7,10437,1252,9185
01-12-2014,Government,Germany,VTT,High,1531,250,20,30620,3674,26946
01-09-2013,Channel Partners,Canada,Amarilla,High,2761,260,12,33132,3976,29156
01-06-2014,Midmarket,United States of America,Carretera,High,2567,3,15,38505,5006,33499
01-06-2014,Midmarket,United States of America,VTT,High,2567,250,15,38505,5006,33499
01-03-2014,Government,Canada,Carretera,High,923,3,350,323050,41997,281054
01-03-2014,Government,France,Carretera,High,1790,3,350,626500,81445,545055
01-09-2013,Government,Germany,Carretera,High,442,3,20,8840,1149,7691
01-01-2014,Government,United States of America,Montana,High,983,5,350,343875,44704,299171
01-02-2014,Government,United States of America,Montana,High,1298,5,7,9086,1181,7905
01-06-2014,Channel Partners,Mexico,Montana,High,604,5,12,7248,942,6306
01-07-2014,Government,Mexico,Montana,High,2255,5,20,45100,5863,39237
01-10-2014,Government,Canada,Montana,High,1249,5,20,24980,3247,21733
01-01-2014,Government,United States of America,Paseo,High,1439,10,7,10070,1309,8760
01-01-2014,Small Business,Germany,Paseo,High,807,10,300,242100,31473,210627
01-02-2014,Government,United States of America,Paseo,High,2641,10,20,52820,6867,45953
01-02-2014,Government,Germany,Paseo,High,2708,10,20,54160,7041,47119
01-06-2014,Government,Canada,Paseo,High,2632,10,350,921200,119756,801444
01-06-2014,Enterprise,Canada,Paseo,High,1583,10,125,197875,25724,172151
01-07-2014,Channel Partners,Mexico,Paseo,High,571,10,12,6852,891,5961
01-08-2014,Government,France,Paseo,High,2696,10,7,18872,2453,16419
01-10-2014,Midmarket,Canada,Paseo,High,1565,10,15,23475,3052,20423
01-10-2014,Government,Canada,Paseo,High,1249,10,20,24980,3247,21733
01-11-2014,Government,Germany,Paseo,High,357,10,350,124950,16244,108707
01-12-2014,Channel Partners,Germany,Paseo,High,1013,10,12,12156,1580,10576
01-01-2014,Midmarket,France,Velo,High,3998,120,15,59963,7795,52167
01-06-2014,Government,Canada,Velo,High,2632,120,350,921200,119756,801444
01-06-2014,Government,France,Velo,High,1190,120,7,8330,1083,7247
01-06-2014,Channel Partners,Mexico,Velo,High,604,120,12,7248,942,6306
01-09-2013,Midmarket,Germany,Velo,High,660,120,15,9900,1287,8613
01-10-2014,Channel Partners,Mexico,Velo,High,410,120,12,4920,640,4280
01-11-2013,Small Business,Mexico,Velo,High,2605,120,300,781500,101595,679905
01-12-2014,Channel Partners,Germany,Velo,High,1013,120,12,12156,1580,10576
01-06-2014,Enterprise,Canada,VTT,High,1583,250,125,197875,25724,172151
01-10-2014,Midmarket,Canada,VTT,High,1565,250,15,23475,3052,20423
01-01-2014,Enterprise,Canada,Amarilla,High,1659,260,125,207375,26959,180416
01-06-2014,Government,France,Amarilla,High,1190,260,7,8330,1083,7247
01-10-2014,Channel Partners,Mexico,Amarilla,High,410,260,12,4920,640,4280
01-12-2013,Channel Partners,Germany,Amarilla,High,1770,260,12,21240,2761,18479
01-04-2014,Government,Mexico,Carretera,High,2579,3,20,51580,7221,44359
01-05-2014,Government,United States of America,Carretera,High,1743,3,20,34860,4880,29980
01-10-2013,Government,United States of America,Carretera,High,2996,3,7,20972,2936,18036
01-12-2014,Government,Germany,Carretera,High,280,3,7,1960,274,1686
01-02-2014,Government,France,Montana,High,293,5,7,2051,287,1764
01-10-2013,Government,United States of America,Montana,High,2996,5,7,20972,2936,18036
01-02-2014,Midmarket,Germany,Paseo,High,278,10,15,4170,584,3586
01-03-2014,Government,Canada,Paseo,High,2428,10,20,48560,6798,41762
01-09-2014,Midmarket,United States of America,Paseo,High,1767,10,15,26505,3711,22794
01-10-2014,Channel Partners,France,Paseo,High,1393,10,12,16716,2340,14376
01-12-2014,Government,Germany,VTT,High,280,250,7,1960,274,1686
01-10-2014,Channel Partners,France,Amarilla,High,1393,260,12,16716,2340,14376
01-12-2013,Channel Partners,United States of America,Amarilla,High,2015,260,12,24180,3385,20795
01-07-2014,Small Business,Mexico,Carretera,High,801,3,300,240300,33642,206658
01-09-2013,Enterprise,France,Carretera,High,1023,3,125,127875,17903,109973
01-10-2014,Small Business,Canada,Carretera,High,1496,3,300,448800,62832,385968
01-10-2014,Small Business,United States of America,Carretera,High,1010,3,300,303000,42420,260580
01-11-2014,Midmarket,Germany,Carretera,High,1513,3,15,22695,3177,19518
01-12-2014,Midmarket,Canada,Carretera,High,2300,3,15,34500,4830,29670
01-12-2013,Enterprise,Mexico,Carretera,High,2821,3,125,352625,49368,303258
01-01-2014,Government,Canada,Montana,High,2228,5,350,779625,109148,670478
01-04-2014,Government,Germany,Montana,High,1199,5,350,419650,58751,360899
01-05-2014,Government,Canada,Montana,High,200,5,350,70000,9800,60200
01-09-2014,Government,Canada,Montana,High,388,5,7,2716,380,2336
01-10-2013,Government,Mexico,Montana,High,1727,5,7,12089,1692,10397
01-12-2014,Midmarket,Canada,Montana,High,2300,5,15,34500,4830,29670
01-02-2014,Government,Mexico,Paseo,High,260,10,20,5200,728,4472
01-09-2013,Midmarket,Canada,Paseo,High,2470,10,15,37050,5187,31863
01-10-2013,Midmarket,Canada,Paseo,High,1743,10,15,26145,3660,22485
01-10-2014,Channel Partners,United States of America,Paseo,High,2914,10,12,34968,4896,30072
01-10-2014,Government,France,Paseo,High,1731,10,7,12117,1696,10421
01-11-2014,Government,Canada,Paseo,High,700,10,350,245000,34300,210700
01-11-2013,Channel Partners,Canada,Paseo,High,2222,10,12,26664,3733,22931
01-11-2014,Government,United States of America,Paseo,High,1177,10,350,411950,57673,354277
01-11-2013,Government,France,Paseo,High,1922,10,350,672700,94178,578522
01-02-2014,Enterprise,Mexico,Velo,High,1575,120,125,196875,27563,169313
01-04-2014,Government,United States of America,Velo,High,606,120,20,12120,1697,10423
01-07-2014,Small Business,United States of America,Velo,High,2460,120,300,738000,103320,634680
01-10-2013,Small Business,Canada,Velo,High,269,120,300,80700,11298,69402
01-11-2013,Small Business,Germany,Velo,High,2536,120,300,760800,106512,654288
01-03-2014,Government,Mexico,VTT,High,2903,250,7,20321,2845,17476
01-08-2014,Small Business,United States of America,VTT,High,2541,250,300,762300,106722,655578
01-10-2013,Small Business,Canada,VTT,High,269,250,300,80700,11298,69402
01-10-2014,Small Business,Canada,VTT,High,1496,250,300,448800,62832,385968
01-10-2014,Small Business,United States of America,VTT,High,1010,250,300,303000,42420,260580
01-12-2013,Government,France,VTT,High,1281,250,350,448350,62769,385581
01-03-2014,Small Business,Canada,Amarilla,High,888,260,300,266400,37296,229104
01-05-2014,Enterprise,United States of America,Amarilla,High,2844,260,125,355500,49770,305730
01-08-2014,Channel Partners,France,Amarilla,High,2475,260,12,29700,4158,25542
01-10-2013,Midmarket,Canada,Amarilla,High,1743,260,15,26145,3660,22485
01-10-2014,Channel Partners,United States of America,Amarilla,High,2914,260,12,34968,4896,30072
01-10-2014,Government,France,Amarilla,High,1731,260,7,12117,1696,10421
01-10-2013,Government,Mexico,Amarilla,High,1727,260,7,12089,1692,10397
01-11-2013,Midmarket,Mexico,Amarilla,High,1870,260,15,28050,3927,24123
01-08-2014,Enterprise,France,Carretera,High,1174,3,125,146750,22013,124738
01-08-2014,Enterprise,Germany,Carretera,High,2767,3,125,345875,51881,293994
01-10-2014,Enterprise,Germany,Carretera,High,1085,3,125,135625,20344,115281
01-10-2014,Small Business,Mexico,Montana,High,546,5,300,163800,24570,139230
01-03-2014,Government,Germany,Paseo,High,1158,10,20,23160,3474,19686
01-04-2014,Midmarket,Canada,Paseo,High,1614,10,15,24210,3632,20579
01-04-2014,Government,Mexico,Paseo,High,2535,10,7,17745,2662,15083
01-05-2014,Government,Mexico,Paseo,High,2851,10,350,997850,149678,848173
01-08-2014,Midmarket,Canada,Paseo,High,2559,10,15,38385,5758,32627
01-10-2013,Government,United States of America,Paseo,High,267,10,20,5340,801,4539
01-10-2014,Enterprise,Germany,Paseo,High,1085,10,125,135625,20344,115281
01-10-2014,Midmarket,Germany,Paseo,High,1175,10,15,17625,2644,14981
01-11-2013,Government,United States of America,Paseo,High,2007,10,350,702450,105368,597083
01-11-2013,Government,Mexico,Paseo,High,2151,10,350,752850,112928,639923
01-12-2014,Channel Partners,United States of America,Paseo,High,914,10,12,10968,1645,9323
01-12-2014,Government,France,Paseo,High,293,10,20,5860,879,4981
01-03-2014,Channel Partners,Mexico,Velo,High,500,120,12,6000,900,5100
01-05-2014,Midmarket,France,Velo,High,2826,120,15,42390,6359,36032
01-09-2014,Enterprise,France,Velo,High,663,120,125,82875,12431,70444
01-11-2013,Small Business,United States of America,Velo,High,2574,120,300,772200,115830,656370
01-12-2013,Enterprise,United States of America,Velo,High,2438,120,125,304750,45713,259038
01-12-2014,Channel Partners,United States of America,Velo,High,914,120,12,10968,1645,9323
01-07-2014,Government,Canada,VTT,High,866,250,20,17310,2597,14714
01-07-2014,Midmarket,Germany,VTT,High,492,250,15,7380,1107,6273
01-10-2013,Government,United States of America,VTT,High,267,250,20,5340,801,4539
01-10-2014,Midmarket,Germany,VTT,High,1175,250,15,17625,2644,14981
01-11-2013,Enterprise,Canada,VTT,High,2954,250,125,369250,55388,313863
01-11-2014,Enterprise,Germany,VTT,High,552,250,125,69000,10350,58650
01-12-2014,Government,France,VTT,High,293,250,20,5860,879,4981
01-03-2014,Small Business,France,Amarilla,High,2475,260,300,742500,111375,631125
01-10-2014,Small Business,Mexico,Amarilla,High,546,260,300,163800,24570,139230
01-02-2014,Government,Mexico,Montana,High,1368,5,7,9576,1436,8140
01-04-2014,Government,Canada,Paseo,High,723,10,7,5061,759,4302
01-05-2014,Channel Partners,United States of America,VTT,High,1806,250,12,21672,3251,18421
